3486bf02-6f68-4abc-b362-d33ad98928ca<%|%>2026-08-27 13:30:00+00<%|%>D14 manhã — Ligação (3 tentativas)
c3ef0c30-6f9f-4788-baa6-c3ea0f3406ad<%|%>2026-08-28 12:00:00+00<%|%>D2 manhã — Ligação (3 tentativas)
aab46a71-64d9-4821-9535-753d5ddcb3a5<%|%>2026-08-13 15:30:00+00<%|%>D5 tarde — Ligação (3 tentativas)
61577d22-f16b-4ba9-a471-602f8e286ce8<%|%>2026-08-28 12:30:00+00<%|%>D7 manhã — Ligação (3 tentativas)
fb1e8905-fd50-498b-a9f3-d313711d26ef<%|%>2026-08-13 16:00:00+00<%|%>D9 tarde — Ligação (3 tentativas)
b978419e-f2fe-4859-a683-f114725e1ed7<%|%>2026-08-28 13:00:00+00<%|%>D12 manhã — Ligação (3 tentativas)
096acc85-d20a-44ec-82a2-2811186d49f0<%|%>2026-08-28 13:30:00+00<%|%>D14 manhã — Ligação (3 tentativas)
12eae869-732f-44aa-8732-aa840619ade6<%|%>2026-07-31 17:00:00+00<%|%>Proponha a reunião (2 horários fechados)
ba1fce26-8083-4da7-a018-c7bf33dfe9a1<%|%>2026-08-06 18:30:00+00<%|%>D4 — E-mail de apresentação
e5b7a801-dd68-46c5-a111-a84b842f320f<%|%>2026-08-06 19:00:00+00<%|%>D8 — E-mail com case do segmento
4748fa9e-ce42-4c26-a85e-90a6c59d4b75<%|%>2026-08-06 19:30:00+00<%|%>D13 — E-mail de encerramento
c480a454-5355-469b-b2d8-740543767e4f<%|%>2026-08-07 15:00:00+00<%|%>D4 — E-mail de apresentação
0cf59b51-0c1d-4dae-acc7-43605a9cb809<%|%>2026-08-07 15:30:00+00<%|%>D8 — E-mail com case do segmento
c47afde4-aa2e-4c65-aacf-3a2024901a78<%|%>2026-08-07 16:00:00+00<%|%>D13 — E-mail de encerramento
db433f90-4928-44fe-9f94-25ea8d875dcc<%|%>2026-08-07 16:30:00+00<%|%>D4 — E-mail de apresentação
e00d1230-1924-4c7c-ab8f-a41038dcce7b<%|%>2026-08-07 17:00:00+00<%|%>D8 — E-mail com case do segmento
60285c29-ad30-43bb-909d-1ad32a9def60<%|%>2026-08-07 17:30:00+00<%|%>D13 — E-mail de encerramento
ff7931d6-9db2-4bc2-9568-8c068faf3e28<%|%>2026-08-07 18:00:00+00<%|%>D4 — E-mail de apresentação
a7cf5a8f-4724-48e6-a98d-569f74486332<%|%>2026-08-07 18:30:00+00<%|%>D8 — E-mail com case do segmento
617f90a0-10f5-4bac-b261-15b97841a83a<%|%>2026-08-07 19:00:00+00<%|%>D13 — E-mail de encerramento
8426e725-546d-4a90-bc6f-4d9ea5281624<%|%>2026-08-07 19:30:00+00<%|%>D4 — E-mail de apresentação
2dea1b62-2a8c-431a-a640-c565c9d32c4b<%|%>2026-08-07 20:00:00+00<%|%>D8 — E-mail com case do segmento
462a76eb-9d7d-45ec-aabe-4b1020c938ae<%|%>2026-08-07 20:30:00+00<%|%>D13 — E-mail de encerramento
b82a228a-d2f2-409d-8de1-c24edc6c85f7<%|%>2026-08-10 12:00:00+00<%|%>D4 — E-mail de apresentação
292eb4c4-d3af-4342-bb28-ec48981d90e1<%|%>2026-08-10 12:30:00+00<%|%>D8 — E-mail com case do segmento
cbd594c8-9833-4f58-a842-d4a35dfd9d44<%|%>2026-08-10 13:00:00+00<%|%>D13 — E-mail de encerramento
1c4498d9-bdf0-40af-8e76-cd752e37f68b<%|%>2026-08-10 13:30:00+00<%|%>D4 — E-mail de apresentação
